stats_1  | N,  1 , C,  1167.77 , LMn,  0.77 , LMd , 0.75 , L5, 0.65 , L95,  0.92 , L99,  1.16 , S,  1262.12
stats_1  | N,  2 , C,  1131.22 , LMn,  0.81 , LMd , 0.78 , L5, 0.67 , L95,  1.01 , L99,  1.39 , S,  2423.80
stats_1  | N,  4 , C,  1110.24 , LMn,  0.94 , LMd , 0.90 , L5, 0.66 , L95,  1.30 , L99,  1.76 , S,  4189.71
stats_1  | N,  8 , C,  1469.29 , LMn,  1.50 , LMd , 1.40 , L5, 0.93 , L95,  2.32 , L99,  3.26 , S,  5260.54
stats_1  | N,  16 , C,  1649.58 , LMn,  2.68 , LMd , 2.57 , L5, 1.85 , L95,  3.83 , L99,  5.08 , S,  5926.67
stats_1  | N,  32 , C,  1398.75 , LMn,  5.60 , LMd , 5.42 , L5, 3.63 , L95,  8.54 , L99,  11.48 , S,  5675.14
stats_1  | N,  64 , C,  1573.00 , LMn,  11.60 , LMd , 11.20 , L5, 8.62 , L95,  16.40 , L99,  21.26 , S,  5503.57
stats_1  | N,  100 , C,  1800.39 , LMn,  18.55 , LMd , 17.38 , L5, 12.44 , L95,  27.85 , L99,  37.65 , S,  5360.15
stats_1  | N,  150 , C,  1781.65 , LMn,  28.03 , LMd , 27.86 , L5, 23.76 , L95,  34.91 , L99,  44.75 , S,  5346.83
stats_1  | N,  200 , C,  1811.95 , LMn,  38.86 , LMd , 37.92 , L5, 31.49 , L95,  49.20 , L99,  62.48 , S,  5143.27
stats_1  | N,  300 , C,  1970.03 , LMn,  63.89 , LMd , 63.64 , L5, 56.04 , L95,  75.15 , L99,  92.56 , S,  4676.07
stats_1  | N,  400 , C,  2018.66 , LMn,  83.25 , LMd , 82.11 , L5, 73.17 , L95,  101.23 , L99,  129.88 , S,  4805.72




