N,  20 , LMn,  3.49 , LMd , 3.24 , L5, 1.75 , L95,  4.15 , L99,  4.30 , S,  5732.24338362602
N,  31 , LMn,  5.68 , LMd , 5.50 , L5, 2.50 , L95,  9.45 , L99,  12.34 , S,  5464.99
N,  40 , LMn,  7.65 , LMd , 6.06 , L5, 1.65 , L95,  7.42 , L99,  7.54 , S,  5245.095778315045
N,  40 , LMn,  7.32 , LMd , 6.61 , L5, 2.98 , L95,  8.49 , L99,  8.77 , S,  5477.200385976198
N,  45 , LMn,  7.71 , LMd , 7.92 , L5, 4.12 , L95,  12.37 , L99,  14.97 , S,  5844.599999999999
N,  60 , LMn,  10.29 , LMd , 10.05 , L5, 8.87 , L95,  12.78 , L99,  14.18 , S,  5833.8
N,  80 , LMn,  13.85 , LMd , 13.69 , L5, 10.91 , L95,  17.45 , L99,  19.20 , S,  5780
N,  100 , LMn,  17.80 , LMd , 17.55 , L5, 15.05 , L95,  22.19 , L99,  24.67 , S,  5622
N,  150 , LMn,  27.10 , LMd , 26.16 , L5, 20.16 , L95,  38.84 , L99,  48.02 , S,  5544
N,  200 , LMn,  39.56 , LMd , 39.85 , L5, 30.23 , L95,  52.87 , L99,  59.76 , S,  5060
N,  250 , LMn,  51.09 , LMd , 50.69 , L5, 33.45 , L95,  71.28 , L99,  84.53 , S,  4897.5
N,  300 , LMn,  64.62 , LMd , 62.87 , L5, 48.31 , L95,  91.28 , L99,  105.55 , S,  4647
N,  330 , LMn,  71.47 , LMd , 70.38 , L5, 60.38 , L95,  85.32 , L99,  102.47 , S,  4620
N,  350 , LMn,  76.23 , LMd , 74.73 , L5, 62.76 , L95,  95.30 , L99,  122.34 , S,  4595.5
N,  400 , LMn,  87.21 , LMd , 78.83 , L5, 69.27 , L95,  120.53 , L99,  161.88 , S,  4588
RAN OUT OF MEMORY 439 


